,A,CS2,C_WP,DER,DP,E,G2,GS2,INN,PB,PO,SB2,SBPCT,TC,team,year
63,1624,25,70,.690,162,74,163,1467,13071.0,11,4357,92,.786,6055,Colorado Rockies,2017
64,1502,33,87,.694,173,76,162,1458,12936.0,18,4312,46,.582,5890,Los Angeles Angels,2017
65,1529,33,68,.680,142,77,162,1458,12888.0,10,4296,60,.645,5902,Kansas City Royals,2017
66,1366,30,51,.694,106,77,162,1458,13128.0,25,4376,64,.681,5819,Boston Red Sox,2017
67,1439,28,61,.710,134,80,162,1458,13110.0,13,4370,102,.785,5889,Atlanta Braves,2017
68,1448,42,47,.699,133,83,161,1449,12978.0,10,4326,60,.588,5857,Miami Marlins,2017
69,1353,29,54,.689,123,83,162,1458,13116.0,9,4372,81,.736,5808,Cleveland Indians,2017
70,1483,27,55,.709,136,85,162,1458,13035.0,17,4345,78,.743,5913,Tampa Bay Rays,2017
71,1594,46,86,.717,125,89,162,1458,13191.0,17,4397,98,.681,6080,Oakland Athletics,2017
72,1486,26,57,.691,153,88,162,1458,13038.0,13,4346,66,.717,5920,Seattle Mariners,2017
73,1406,36,26,.691,121,88,162,1458,13146.0,9,4382,134,.788,5876,New York Mets,2017
74,1608,24,48,.685,144,95,162,1458,12969.0,6,4323,83,.776,6026,Cincinnati Reds,2017
75,1605,31,44,.691,160,97,162,1458,13152.0,9,4384,93,.750,6086,San Francisco Giants,2017
76,1344,31,73,.687,95,94,162,1458,13107.0,25,4369,88,.739,5807,New York Yankees,2017
77,1428,37,54,.695,126,95,162,1458,12828.0,8,4276,79,.681,5799,Detroit Tigers,2017
78,1454,29,59,.685,127,97,162,1458,12990.0,12,4330,85,.746,5881,Minnesota Twins,2017
79,1539,30,52,.683,127,100,162,1458,13113.0,12,4371,88,.746,6010,San Diego Padres,2017
80,1675,40,46,.702,155,104,163,1467,13287.0,12,4429,84,.677,6208,Chicago Cubs,2017
81,1435,25,39,.699,111,100,163,1467,13284.0,10,4428,70,.737,5963,Los Angeles Dodgers,2017
82,1447,39,71,.679,138,101,162,1458,12903.0,8,4301,136,.777,5849,Toronto Blue Jays,2017
83,1537,42,81,.675,159,104,162,1458,12879.0,9,4293,89,.679,5934,Baltimore Orioles,2017
84,1478,36,95,.687,129,105,161,1449,12906.0,8,4302,72,.667,5885,Pittsburgh Pirates,2017
85,1453,39,50,.706,141,108,163,1467,13149.0,10,4383,69,.639,5944,Milwaukee Brewers,2017
86,1431,39,94,.692,134,114,162,1458,12933.0,20,4311,133,.773,5856,Chicago White Sox,2017
87,1558,18,57,.683,168,120,162,1458,12879.0,13,4293,76,.809,5971,Texas Rangers,2017
88,1478,35,81,.680,138,123,162,1458,13011.0,18,4337,100,.741,5938,Philadelphia Phillies,2017
89,1540,13,63,.688,151,133,162,1458,13098.0,7,4366,47,.783,6039,St. Louis Cardinals,2017
90,1554,30,57,.693,156,73,162,1458,12984.0,12,4328,67,.691,5955,Miami Marlins,2016
91,1730,27,69,.685,168,77,162,1458,12939.0,18,4313,67,.713,6120,Colorado Rockies,2016
92,1447,37,48,.684,167,76,162,1458,12966.0,9,4322,50,.575,5845,Cleveland Indians,2016
93,1477,29,52,.693,143,78,162,1458,12924.0,16,4308,75,.721,5863,Minnesota Twins,2016
