,A,CS2,C_WP,DER,DP,E,G2,GS2,INN,PB,PO,SB2,SBPCT,TC,team,year
618,1581,45,34,.695,121,118,162,1458,13050.0,8,4348,133,.747,6047,New York Mets,1999
619,1702,52,49,.685,144,125,161,1449,12867.0,12,4288,104,.667,6115,Florida Marlins,1999
620,1728,33,23,.693,138,129,162,1458,12963.0,9,4321,99,.750,6178,Atlanta Braves,1999
621,1826,42,67,.673,169,132,162,1458,13041.0,12,4342,101,.706,6300,Pittsburgh Pirates,1999
622,1740,56,47,.697,182,134,162,1458,13032.0,6,4345,101,.643,6219,Anaheim Angels,1999
623,1683,54,42,.682,190,133,162,1458,13053.0,13,4350,79,.594,6166,Chicago White Sox,1999
624,1701,37,54,.674,151,132,162,1456,12822.0,20,4273,123,.769,6106,Montreal Expos,1999
625,1725,39,46,.682,164,134,161,1449,12918.0,8,4306,92,.702,6165,Oakland Athletics,1999
626,1714,52,60,.697,151,135,162,1458,13005.0,15,4333,106,.671,6182,Los Angeles Dodgers,1999
627,1557,32,55,.678,149,133,162,1456,12939.0,6,4313,111,.776,6003,Houston Astros,1999
628,1589,36,41,.668,162,135,162,1457,12861.0,8,4287,65,.644,6011,Texas Rangers,1999
629,1668,48,66,.695,155,141,162,1458,13134.0,13,4376,106,.688,6185,San Diego Padres,1999
630,1599,44,38,.707,147,68,163,1467,13110.0,11,4371,134,.753,6038,New York Mets,1998
631,1763,50,54,.696,192,89,162,1458,12915.0,7,4301,93,.650,6153,Baltimore Orioles,1998
632,1609,37,57,.685,146,92,161,1449,12810.0,12,4268,73,.664,5969,Minnesota Twins,1998
633,1590,35,67,.695,144,100,162,1458,12937.2,14,4315,94,.729,6005,Philadelphia Phillies,1998
634,1590,66,39,.700,129,104,162,1458,13206.0,17,4406,138,.676,6100,Arizona Diamondbacks,1998
635,1731,43,54,.672,170,106,162,1459,13125.0,9,4373,94,.686,6210,Houston Astros,1998
636,1744,46,54,.688,154,106,162,1458,13023.1,8,4334,118,.720,6184,Cleveland Indians,1998
637,1627,53,63,.692,153,105,162,1458,13097.0,8,4363,129,.709,6095,San Francisco Giants,1998
638,1717,62,65,.700,156,106,162,1458,12882.0,20,4297,103,.624,6120,Anaheim Angels,1998
639,1544,34,65,.725,137,105,163,1467,13158.0,11,4385,124,.785,6034,Cincinnati Reds,1998
640,1661,53,55,.672,164,106,162,1458,12951.0,13,4317,124,.701,6084,Toronto Blue Jays,1998
641,1622,44,43,.689,156,106,161,1449,12789.0,13,4264,81,.648,5992,Detroit Tigers,1998
642,1629,45,34,.695,122,111,162,1458,13239.0,11,4413,108,.706,6153,Atlanta Braves,1998
643,1574,48,49,.697,130,111,162,1458,12957.0,19,4321,131,.732,6006,New York Yankees,1998
644,1675,50,63,.673,180,113,162,1458,12903.0,8,4302,107,.682,6090,Seattle Mariners,1998
645,1721,52,50,.671,167,119,162,1458,12927.0,2,4308,47,.475,6148,Texas Rangers,1998
646,1729,63,70,.661,186,119,162,1458,12861.0,9,4288,163,.721,6136,Colorado Rockies,1998
647,1701,51,57,.683,162,122,162,1458,12945.0,19,4315,110,.683,6138,Oakland Athletics,1998
648,1727,49,60,.683,189,125,161,1449,12786.0,10,4267,111,.694,6119,Kansas City Royals,1998
649,1666,44,65,.677,142,127,161,1449,12984.0,12,4323,177,.801,6116,Milwaukee Brewers,1998
650,1676,67,46,.680,150,127,162,1459,12921.0,10,4309,94,.584,6112,Florida Marlins,1998
651,1541,58,28,.692,131,127,162,1458,12929.2,32,4316,159,.733,5984,Boston Red Sox,1998
652,1629,45,73,.689,151,129,162,1458,12783.0,17,4263,114,.717,6021,San Diego Padres,1998
653,1636,69,60,.681,161,132,161,1449,13008.0,7,4327,80,.537,6095,St. Louis Cardinals,1998
654,1765,69,52,.659,198,135,162,1458,12897.0,13,4294,101,.594,6194,Tampa Bay Devil Rays,1998
655,1708,56,53,.699,134,138,162,1458,13077.0,13,4361,156,.736,6207,Los Angeles Dodgers,1998
656,1568,46,59,.679,148,136,162,1458,12932.1,15,4317,102,.689,6021,Chicago White Sox,1998
657,1597,43,59,.680,135,139,162,1458,12876.0,14,4294,100,.699,6030,Chicago Cubs,1998
658,1739,50,55,.683,175,147,161,1449,12900.0,8,4298,99,.664,6184,Pittsburgh Pirates,1998
659,1604,47,46,.679,125,160,162,1459,12909.0,16,4304,157,.770,6068,Montreal Expos,1998
660,1734,-,-,-,144,65,162,162,1431.1,12,3348,-,.---,5147,Baltimore Orioles,1997
661,1761,-,-,-,193,76,162,162,1432.2,9,3284,-,.---,5121,Colorado Rockies,1997
662,1588,-,-,-,107,77,163,163,1477.1,7,3353,-,.---,5018,Chicago Cubs,1997
663,1633,0,-,-,151,79,162,162,1458.0,11,3433,0,.---,5145,New York Mets,1997
664,1696,-,-,-,125,78,162,162,1432.1,6,3183,-,.---,4957,Arizona Diamondbacks,1997
665,1645,-,-,-,139,80,162,162,1438.2,13,3310,-,.---,5035,Atlanta Braves,1997
666,1747,-,-,-,144,85,162,162,1471.1,9,3446,-,.---,5278,Houston Astros,1997
667,1611,-,-,-,146,82,162,162,1456.2,12,3320,-,.---,5013,New York Yankees,1997
668,1795,-,-,-,157,87,163,163,1477.0,13,3430,-,.---,5312,San Francisco Giants,1997
669,1726,-,-,-,192,86,162,162,1451.0,14,3372,-,.---,5184,Milwaukee Brewers,1997
670,1683,0,-,-,146,85,162,162,1460.0,8,3322,0,.---,5090,Cleveland Indians,1997
671,1718,-,-,-,178,86,162,162,1443.0,19,3285,-,.---,5089,Tampa Bay Devil Rays,1997
672,1701,-,-,-,155,90,162,162,1454.2,17,3421,-,.---,5212,San Diego Padres,1997
673,1704,-,-,-,131,96,162,162,1463.0,15,3419,-,.---,5219,Philadelphia Phillies,1997
674,1551,-,-,-,135,88,162,162,1447.2,11,3143,-,.---,4782,Minnesota Twins,1997
675,1619,-,-,-,146,92,162,162,1444.0,28,3237,-,.---,4948,Anaheim Angels,1997
676,1538,-,-,-,142,93,162,162,1441.1,10,3272,-,.---,4903,Cincinnati Reds,1997
677,1768,-,-,-,164,98,162,162,1446.1,14,3281,-,.---,5147,Detroit Tigers,1997
678,1599,-,-,-,128,97,162,162,1436.0,35,3231,-,.---,4927,Boston Red Sox,1997
679,1502,-,-,-,131,100,163,163,1465.0,9,3326,-,.---,4928,Toronto Blue Jays,1997
680,1742,-,-,-,160,110,163,163,1469.2,6,3354,-,.---,5206,St. Louis Cardinals,1997
681,1693,-,-,-,177,109,162,162,1449.2,18,3260,-,.---,5062,Florida Marlins,1997
682,1539,-,-,-,139,106,161,161,1424.1,11,3219,-,.---,4864,Seattle Mariners,1997
683,1555,-,-,-,140,107,162,162,1431.1,10,3183,-,.---,4845,Texas Rangers,1997
684,1701,0,-,-,154,116,162,162,1427.2,8,3415,0,.---,5232,Los Angeles Dodgers,1997
685,1662,-,-,-,172,113,161,161,1436.1,11,3227,-,.---,5002,Kansas City Royals,1997
686,1660,-,-,-,161,117,163,163,1449.0,14,3322,-,.---,5099,Pittsburgh Pirates,1997
687,1678,-,-,-,161,118,163,163,1438.2,9,3180,-,.---,4976,Chicago White Sox,1997
688,1623,-,-,-,155,122,162,162,1434.0,13,3182,-,.---,4927,Oakland Athletics,1997
689,1653,-,-,-,127,123,162,162,1427.0,18,3188,-,.---,4964,Montreal Expos,1997
690,1683,-,-,-,146,73,162,162,1445.2,11,3248,-,.---,5004,Detroit Tigers,1996
691,1604,-,-,-,168,71,161,161,1443.0,14,3166,-,.---,4841,Kansas City Royals,1996
692,1642,-,-,-,148,81,162,162,1461.0,7,3335,-,.---,5058,Baltimore Orioles,1996
693,1508,-,-,-,150,79,162,162,1442.2,11,3269,-,.---,4856,Toronto Blue Jays,1996
694,1682,-,-,-,156,85,162,162,1467.2,19,3433,-,.---,5200,New York Yankees,1996
695,1659,-,-,-,170,81,162,162,1434.0,14,3164,-,.---,4904,Minnesota Twins,1996
696,1698,-,-,-,159,87,161,161,1425.2,8,3290,-,.---,5075,Cleveland Indians,1996
697,1549,-,-,-,129,87,162,162,1449.0,13,3290,-,.---,4926,Cincinnati Reds,1996
698,1640,-,-,-,136,90,162,162,1465.2,11,3334,-,.---,5064,Atlanta Braves,1996
699,1914,-,-,-,202,96,162,162,1432.2,5,3384,-,.---,5394,Colorado Rockies,1996
700,1836,-,-,-,165,95,162,162,1459.1,10,3360,-,.---,5291,New York Mets,1996
701,1514,-,-,-,134,87,162,162,1420.1,16,3224,-,.---,4825,Philadelphia Phillies,1996
702,1728,-,-,-,170,93,162,162,1445.1,5,3293,-,.---,5114,Oakland Athletics,1996
703,1780,0,-,-,157,98,162,162,1446.0,9,3324,0,.---,5202,San Francisco Giants,1996
704,1566,-,-,-,117,93,162,162,1429.0,16,3241,-,.---,4900,Chicago Cubs,1996
705,1638,-,-,-,155,93,162,162,1429.2,6,3165,-,.---,4896,Texas Rangers,1996
706,1711,-,-,-,156,101,162,162,1455.2,18,3377,-,.---,5189,St. Louis Cardinals,1996
707,1618,-,-,-,167,101,162,162,1446.2,7,3408,-,.---,5127,Florida Marlins,1996
708,1614,-,-,-,171,99,161,161,1427.1,11,3269,-,.---,4982,Milwaukee Brewers,1996
709,1799,-,-,-,149,108,162,162,1436.0,11,3463,-,.---,5370,Pittsburgh Pirates,1996
710,1539,-,-,-,104,100,162,162,1459.1,11,3280,-,.---,4919,Los Angeles Dodgers,1996
711,1844,-,-,-,169,111,162,162,1459.0,6,3435,-,.---,5390,Houston Astros,1996
712,1552,-,-,-,140,100,162,162,1454.2,19,3184,-,.---,4836,Anaheim Angels,1996
713,1783,-,-,-,132,109,162,162,1450.0,8,3356,-,.---,5248,San Diego Padres,1996
714,1667,-,-,-,150,110,162,162,1447.0,13,3338,-,.---,5115,Montreal Expos,1996
715,1664,-,-,-,179,116,162,162,1451.2,36,3282,-,.---,5062,Boston Red Sox,1996
716,1551,-,-,-,143,115,162,162,1447.2,3,3313,-,.---,4979,Seattle Mariners,1996
717,1421,-,-,-,131,105,161,161,1422.1,16,3005,-,.---,4531,Chicago White Sox,1996
718,1695,-,-,-,173,79,163,163,1468.2,14,3327,-,.---,5101,Baltimore Orioles,1995
719,1622,-,-,-,150,78,163,163,1449.1,10,3227,-,.---,4927,Texas Rangers,1995
720,1738,-,-,-,147,83,162,162,1456.1,13,3344,-,.---,5165,Chicago Cubs,1995
721,1584,-,-,-,146,81,162,162,1440.0,17,3288,-,.---,4953,New York Yankees,1995
722,1735,-,-,-,195,86,162,162,1456.1,11,3240,-,.---,5061,Oakland Athletics,1995
723,1769,-,-,-,187,91,162,162,1443.0,12,3447,-,.---,5307,Florida Marlins,1995
724,1477,-,-,-,142,80,162,162,1439.2,11,3094,-,.---,4651,Minnesota Twins,1995
725,1552,-,-,-,145,87,162,162,1461.0,8,3189,-,.---,4828,Chicago White Sox,1995
726,1680,-,-,-,184,90,161,161,1450.0,11,3215,-,.---,4985,Kansas City Royals,1995
727,1722,-,-,-,156,95,161,161,1452.1,11,3311,-,.---,5128,Cleveland Indians,1995
728,1753,-,-,-,136,99,162,162,1489.0,14,3474,-,.---,5326,San Diego Padres,1995
729,1575,-,-,-,187,93,162,162,1445.2,16,3258,-,.---,4926,Toronto Blue Jays,1995
730,1696,-,-,-,157,94,162,162,1432.2,7,3172,-,.---,4962,Detroit Tigers,1995
731,1607,-,-,-,143,97,162,162,1466.1,15,3394,-,.---,5098,Los Angeles Dodgers,1995
732,1552,-,-,-,145,93,162,162,1423.1,10,3172,-,.---,4817,Philadelphia Phillies,1995
733,1837,-,-,-,144,105,162,162,1453.1,10,3404,-,.---,5346,Pittsburgh Pirates,1995
734,1665,0,-,-,145,102,162,162,1443.0,7,3361,0,.---,5128,Cincinnati Reds,1995
735,1687,-,-,-,121,103,162,162,1441.1,10,3367,-,.---,5157,Montreal Expos,1995
736,1503,-,-,-,155,95,161,161,1431.2,8,3154,-,.---,4752,Seattle Mariners,1995
737,1782,-,-,-,143,108,162,162,1469.0,11,3428,-,.---,5318,Atlanta Braves,1995
738,1648,-,-,-,130,107,162,162,1447.0,14,3351,-,.---,5106,Houston Astros,1995
739,1675,-,-,-,156,107,161,161,1439.0,12,3231,-,.---,5013,California Angels,1995
740,1601,-,-,-,152,111,162,162,1458.0,23,3362,-,.---,5074,Boston Red Sox,1995
741,1637,-,-,-,139,110,162,162,1452.1,7,3265,-,.---,5012,St. Louis Cardinals,1995
742,1606,-,-,-,165,114,162,162,1442.1,13,3250,-,.---,4970,San Francisco Giants,1995
743,1657,-,-,-,180,117,162,162,1447.1,9,3157,-,.---,4931,Milwaukee Brewers,1995
744,1881,-,-,-,167,128,162,162,1422.2,19,3352,-,.---,5361,Colorado Rockies,1995
745,1675,-,-,-,163,122,162,162,1440.0,10,3238,-,.---,5035,New York Mets,1995
746,1397,-,-,-,121,57,145,145,1284.2,20,2814,-,.---,4268,New York Yankees,1994
747,1429,-,-,-,141,60,144,144,1267.0,8,2884,-,.---,4373,Baltimore Orioles,1994
748,1474,-,-,-,140,63,144,144,1289.1,11,2902,-,.---,4439,Cincinnati Reds,1994
749,1628,-,-,-,168,69,144,144,1288.0,11,2909,-,.---,4606,Kansas City Royals,1994
750,1549,-,-,-,113,81,144,144,1291.2,8,3057,-,.---,4687,Atlanta Braves,1994
751,1573,-,-,-,142,81,144,144,1301.0,11,2990,-,.---,4644,Cleveland Indians,1994
752,1367,-,-,-,131,77,144,144,1292.2,31,2884,-,.---,4328,Toronto Blue Jays,1994
753,1566,-,-,-,156,83,144,144,1285.0,10,2885,-,.---,4534,Texas Rangers,1994
754,1538,-,-,-,119,85,144,144,1283.2,6,2986,-,.---,4609,Montreal Expos,1994
755,1498,-,-,-,139,84,144,144,1290.1,19,2971,-,.---,4553,Philadelphia Phillies,1994
756,1448,-,-,-,141,81,144,144,1272.2,11,2820,-,.---,4349,Minnesota Twins,1994
757,1520,-,-,-,142,85,144,144,1293.2,7,2934,-,.---,4539,San Francisco Giants,1994
758,1466,-,-,-,151,84,144,144,1273.0,4,2884,-,.---,4434,Oakland Athletics,1994
759,1567,-,-,-,143,86,144,144,1275.0,3,2866,-,.---,4519,Detroit Tigers,1994
760,1631,-,-,-,146,92,144,144,1288.1,10,3053,-,.---,4776,Colorado Rockies,1994
761,1440,-,-,-,143,87,143,143,1286.0,8,2988,-,.---,4515,Florida Marlins,1994
762,1610,-,-,-,120,93,144,144,1320.1,14,3093,-,.---,4796,Houston Astros,1994
763,1634,-,-,-,186,89,144,144,1286.0,34,2837,-,.---,4560,Milwaukee Brewers,1994
764,1539,-,-,-,115,89,144,144,1301.0,19,2916,-,.---,4544,Chicago Cubs,1994
765,1392,-,-,-,120,83,145,145,1284.1,13,2761,-,.---,4236,California Angels,1994
766,1507,-,-,-,130,93,144,144,1284.2,8,2998,-,.---,4598,San Diego Padres,1994
767,1558,-,-,-,138,95,144,144,1275.1,12,2887,-,.---,4540,Pittsburgh Pirates,1994
768,1545,-,-,-,151,97,144,144,1292.2,29,2968,-,.---,4610,Boston Red Sox,1994
769,1326,-,-,-,108,92,145,145,1289.1,13,2952,-,.---,4370,Seattle Mariners,1994
770,1568,-,-,-,125,99,144,144,1291.0,14,2947,-,.---,4614,New York Mets,1994
771,1385,-,-,-,131,94,145,145,1284.2,12,2878,-,.---,4357,Chicago White Sox,1994
772,1595,-,-,-,156,103,143,143,1265.2,9,2884,-,.---,4582,St. Louis Cardinals,1994
773,1464,-,-,-,120,108,144,144,1295.0,19,3023,-,.---,4595,Los Angeles Dodgers,1994
774,1110,-,-,-,103,45,112,112,997.2,5,2217,-,.---,3372,Baltimore Orioles,1993
775,1164,-,-,-,110,53,115,115,1027.0,11,2223,-,.---,3440,California Angels,1993
776,1218,-,-,-,85,58,114,114,1026.1,11,2428,-,.---,3704,Atlanta Braves,1993
777,1254,-,-,-,113,58,115,115,1025.1,6,2317,-,.---,3629,San Francisco Giants,1993
778,1151,-,-,-,91,57,115,115,1038.1,17,2347,-,.---,3555,Cincinnati Reds,1993
779,1227,-,-,-,102,62,115,115,1031.2,5,2405,-,.---,3694,Kansas City Royals,1993
780,1163,-,-,-,99,57,113,113,1005.0,5,2148,-,.---,3368,Minnesota Twins,1993
781,1236,-,-,-,110,62,115,115,1029.2,16,2338,-,.---,3636,Houston Astros,1993
782,1242,-,-,-,110,62,113,113,1023.2,10,2328,-,.---,3632,Chicago Cubs,1993
783,1232,-,-,-,119,61,115,115,1018.0,6,2250,-,.---,3543,St. Louis Cardinals,1993
784,1236,-,-,-,117,70,117,117,1031.0,5,2401,-,.---,3707,Colorado Rockies,1993
785,1298,-,-,-,122,70,113,113,1019.2,10,2315,-,.---,3683,New York Yankees,1993
786,1243,-,-,-,90,68,115,115,1018.0,8,2223,-,.---,3534,Detroit Tigers,1993
787,1167,-,-,-,124,69,115,115,1029.1,16,2316,-,.---,3552,Boston Red Sox,1993
788,1272,-,-,-,130,71,115,115,1036.0,11,2285,-,.---,3628,Milwaukee Brewers,1993
789,1042,-,-,-,105,68,115,115,1025.0,14,2313,-,.---,3423,Toronto Blue Jays,1993
790,1215,-,-,-,104,74,114,114,1014.0,12,2332,-,.---,3621,Los Angeles Dodgers,1993
791,1311,-,-,-,131,76,114,114,1005.2,11,2325,-,.---,3712,Pittsburgh Pirates,1993
792,1101,-,-,-,105,70,114,114,1003.1,5,2244,-,.---,3415,Oakland Athletics,1993
793,1259,-,-,-,119,76,113,113,1018.2,7,2317,-,.---,3652,Cleveland Indians,1993
794,1262,-,-,-,112,76,113,113,1023.0,10,2311,-,.---,3649,New York Mets,1993
795,1183,-,-,-,111,76,115,115,1015.0,18,2243,-,.---,3502,Florida Marlins,1993
796,982,-,-,-,91,70,113,113,1011.1,12,2168,-,.---,3220,Chicago White Sox,1993
797,1158,-,-,-,90,79,114,114,1036.2,3,2319,-,.---,3556,Montreal Expos,1993
798,1123,-,-,-,96,82,115,115,1024.1,11,2301,-,.---,3506,Philadelphia Phillies,1993
799,1138,-,-,-,102,83,112,112,984.0,8,2285,-,.---,3506,Seattle Mariners,1993
800,1186,-,-,-,82,93,117,117,1045.2,11,2415,-,.---,3694,San Diego Padres,1993
801,1246,-,-,-,106,92,114,114,1023.0,9,2299,-,.---,3637,Texas Rangers,1993
802,1692,-,-,-,173,73,162,162,1453.2,13,3379,-,.---,5144,Seattle Mariners,1992
803,1784,-,-,-,161,75,162,162,1445.2,19,3221,-,.---,5080,Pittsburgh Pirates,1992
804,1850,-,-,-,162,79,163,163,1449.2,14,3311,-,.---,5240,Chicago Cubs,1992
805,1683,-,-,-,150,77,162,162,1445.1,15,3255,-,.---,5015,Kansas City Royals,1992
806,1717,-,-,-,160,81,162,162,1444.1,21,3224,-,.---,5022,Minnesota Twins,1992
807,1865,-,-,-,166,85,162,162,1438.1,7,3301,-,.---,5251,New York Yankees,1992
808,1752,-,-,-,171,84,162,162,1442.2,6,3220,-,.---,5056,Baltimore Orioles,1992
809,1750,-,-,-,146,87,162,162,1455.0,13,3310,-,.---,5147,Atlanta Braves,1992
810,1705,-,-,-,169,87,162,162,1456.2,15,3288,-,.---,5080,San Francisco Giants,1992
811,1561,-,-,-,144,88,162,162,1441.1,6,3244,-,.---,4893,Toronto Blue Jays,1992
812,1601,-,-,-,133,90,162,162,1434.0,12,3187,-,.---,4878,Cincinnati Reds,1992
813,1597,-,-,-,161,89,162,162,1452.1,15,3090,-,.---,4776,Oakland Athletics,1992
814,1639,-,-,-,153,95,162,162,1454.0,15,3192,-,.---,4926,Chicago White Sox,1992
815,1651,-,-,-,161,96,162,162,1430.1,10,3085,-,.---,4832,California Angels,1992
816,1675,-,-,-,130,102,162,162,1440.1,29,3222,-,.---,4999,Florida Marlins,1992
817,1746,-,-,-,148,102,162,162,1436.2,8,3140,-,.---,4988,Detroit Tigers,1992
818,1750,-,-,-,145,108,162,162,1438.1,18,3240,-,.---,5098,Texas Rangers,1992
819,1615,-,-,-,141,106,162,162,1441.1,7,3224,-,.---,4945,Houston Astros,1992
820,1800,-,-,-,141,115,162,162,1472.2,15,3412,-,.---,5327,Los Angeles Dodgers,1992
821,1664,-,-,-,155,109,162,162,1452.1,11,3273,-,.---,5046,Boston Red Sox,1992
822,1604,-,-,-,148,113,162,162,1447.0,12,3091,-,.---,4808,Milwaukee Brewers,1992
823,1850,-,-,-,157,127,162,162,1453.0,14,3253,-,.---,5230,St. Louis Cardinals,1992
824,1507,-,-,-,123,122,162,162,1472.2,12,3245,-,.---,4874,Philadelphia Phillies,1992
825,1610,-,-,-,174,122,162,162,1445.2,9,3136,-,.---,4868,Cleveland Indians,1992
826,1737,-,-,-,143,135,162,162,1438.0,4,3212,-,.---,5084,New York Mets,1992
827,1791,-,-,-,144,140,163,163,1456.2,14,3268,-,.---,5199,Montreal Expos,1992
828,1724,-,-,-,149,138,162,162,1431.1,11,3204,-,.---,5066,Colorado Rockies,1992
829,1573,-,-,-,129,136,162,162,1437.2,20,3136,-,.---,4845,San Diego Padres,1992
830,1677,-,-,-,168,71,162,162,1464.0,15,3175,-,.---,4923,Baltimore Orioles,1991
831,1745,-,-,-,146,76,162,162,1480.0,8,3259,-,.---,5080,St. Louis Cardinals,1991
832,1555,-,-,-,109,72,162,162,1440.2,15,3169,-,.---,4796,Toronto Blue Jays,1991
833,1906,-,-,-,144,83,162,162,1479.2,11,3303,-,.---,5292,Pittsburgh Pirates,1991
834,1627,-,-,-,128,78,162,162,1449.2,8,3254,-,.---,4959,Cincinnati Reds,1991
835,1743,-,-,-,155,81,162,162,1453.0,14,3245,-,.---,5069,Minnesota Twins,1991
836,1713,-,-,-,146,82,162,162,1457.0,5,3213,-,.---,5008,Milwaukee Brewers,1991
837,1677,-,-,-,121,83,162,162,1460.0,13,3182,-,.---,4942,Atlanta Braves,1991
838,1906,-,-,-,142,92,162,162,1469.0,14,3422,-,.---,5420,Chicago Cubs,1991
839,1734,-,-,-,164,91,162,162,1435.2,8,3065,-,.---,4890,Detroit Tigers,1991
840,1754,-,-,-,174,97,162,162,1461.0,17,3276,-,.---,5127,San Francisco Giants,1991
841,1591,-,-,-,125,94,162,162,1459.1,13,3221,-,.---,4906,Houston Astros,1991
842,1678,-,-,-,127,96,162,162,1461.1,2,3209,-,.---,4983,San Diego Padres,1991
843,1706,-,-,-,165,96,162,162,1452.2,16,3179,-,.---,4981,New York Yankees,1991
844,1692,-,-,-,134,102,162,162,1446.2,10,3262,-,.---,5056,New York Mets,1991
845,1730,-,-,-,170,103,162,162,1445.0,9,3214,-,.---,5047,Seattle Mariners,1991
846,1740,-,-,-,113,107,162,162,1468.0,9,3326,-,.---,5173,Montreal Expos,1991
847,1722,-,-,-,164,107,162,162,1447.1,14,3152,-,.---,4981,Kansas City Royals,1991
848,1550,-,-,-,158,102,162,162,1447.0,8,3094,-,.---,4746,Oakland Athletics,1991
849,1773,-,-,-,172,111,162,162,1446.0,5,3241,-,.---,5125,California Angels,1991
850,1832,-,-,-,170,115,162,162,1448.2,8,3299,-,.---,5246,Boston Red Sox,1991
851,1741,-,-,-,134,113,162,162,1461.2,13,3155,-,.---,5009,Chicago White Sox,1991
852,1687,-,-,-,176,114,162,162,1470.0,9,3228,-,.---,5029,Cleveland Indians,1991
853,1592,-,-,-,128,110,162,162,1428.0,13,3117,-,.---,4819,Philadelphia Phillies,1991
854,1664,-,-,-,153,116,162,162,1460.1,19,3273,-,.---,5053,Texas Rangers,1991
855,1804,-,-,-,136,149,162,162,1438.0,20,3348,-,.---,5301,Los Angeles Dodgers,1991
856,1751,-,-,-,161,75,162,162,1449.1,12,3221,-,.---,5047,Minnesota Twins,1990
857,1760,-,-,-,172,77,162,162,1457.2,8,3222,-,.---,5059,Baltimore Orioles,1990
858,1763,-,-,-,171,79,162,162,1450.1,12,3091,-,.---,4933,Detroit Tigers,1990
859,1826,-,-,-,156,88,162,162,1441.2,23,3380,-,.---,5294,California Angels,1990
860,1807,-,-,-,120,89,160,160,1456.2,19,3356,-,.---,5252,Chicago Cubs,1990
861,1727,-,-,-,151,88,162,162,1442.0,9,3272,-,.---,5087,San Francisco Giants,1990
862,1745,-,-,-,187,90,162,162,1464.1,24,3319,-,.---,5154,Seattle Mariners,1990
863,1578,-,-,-,150,85,162,162,1444.1,8,3168,-,.---,4831,Oakland Athletics,1990
864,1648,-,-,-,133,92,162,162,1435.1,8,3180,-,.---,4920,St. Louis Cardinals,1990
865,1703,-,-,-,151,100,162,162,1478.0,20,3267,-,.---,5070,Chicago White Sox,1990
866,1709,-,-,-,130,99,162,162,1452.2,9,3202,-,.---,5010,San Diego Padres,1990
867,1681,-,-,-,141,101,162,162,1466.0,11,3327,-,.---,5109,Kansas City Royals,1990
868,1750,-,-,-,165,102,162,162,1439.2,11,3271,-,.---,5123,Boston Red Sox,1990
869,1806,-,-,-,134,106,162,162,1456.2,9,3335,-,.---,5247,Pittsburgh Pirates,1990
870,1598,-,-,-,111,101,162,162,1463.0,9,3250,-,.---,4949,Philadelphia Phillies,1990
871,1685,-,-,-,138,105,162,162,1479.0,15,3325,-,.---,5115,Texas Rangers,1990
872,1747,-,-,-,176,104,162,162,1463.2,16,3201,-,.---,5052,Milwaukee Brewers,1990
873,1764,-,-,-,126,112,162,162,1458.0,8,3403,-,.---,5279,Los Angeles Dodgers,1990
874,1656,-,-,-,115,108,162,162,1462.2,21,3296,-,.---,5060,Toronto Blue Jays,1990
875,1587,-,-,-,131,105,162,162,1440.0,20,3214,-,.---,4906,Cincinnati Reds,1990
876,1803,-,-,-,122,113,162,162,1452.2,14,3358,-,.---,5274,Atlanta Braves,1990
877,1758,-,-,-,128,111,161,161,1440.1,22,3180,-,.---,5049,Montreal Expos,1990
878,1716,-,-,-,181,116,162,162,1444.0,13,3232,-,.---,5064,New York Yankees,1990
879,1677,-,-,-,150,117,162,162,1441.1,19,3136,-,.---,4930,Cleveland Indians,1990
880,1732,-,-,-,112,124,161,161,1437.1,12,3334,-,.---,5190,New York Mets,1990
881,1575,-,-,-,129,137,162,162,1453.0,16,3267,-,.---,4979,Houston Astros,1990
882,1692,-,-,-,144,67,162,162,1454.0,14,3252,-,.---,5011,Toronto Blue Jays,1989
883,1606,-,-,-,152,67,162,162,1456.0,14,3117,-,.---,4790,Oakland Athletics,1989
884,1628,-,-,-,151,73,161,161,1435.1,5,3026,-,.---,4727,Baltimore Orioles,1989
885,1793,-,-,-,148,83,162,162,1446.1,11,3207,-,.---,5083,San Francisco Giants,1989
886,1667,-,-,-,161,85,162,162,1435.2,11,3143,-,.---,4895,Minnesota Twins,1989
887,1673,-,-,-,169,88,162,162,1449.1,13,3204,-,.---,4965,Chicago White Sox,1989
888,1643,-,-,-,126,92,162,162,1456.1,19,3253,-,.---,4988,Cincinnati Reds,1989
889,1610,-,-,-,134,93,162,162,1473.1,21,3284,-,.---,4987,Montreal Expos,1989
890,1695,-,-,-,114,94,162,162,1443.1,11,3156,-,.---,4945,St. Louis Cardinals,1989
891,1617,-,-,-,146,94,162,162,1427.1,14,3125,-,.---,4836,Cleveland Indians,1989
892,1713,-,-,-,150,100,162,162,1449.0,8,3207,-,.---,5020,Philadelphia Phillies,1989
893,1745,-,-,-,125,103,162,162,1447.0,9,3235,-,.---,5083,Pittsburgh Pirates,1989
894,1755,-,-,-,164,104,162,162,1444.2,27,3236,-,.---,5095,New York Yankees,1989
895,1715,-,-,-,154,106,162,162,1442.0,7,3292,-,.---,5113,Boston Red Sox,1989
896,1730,-,-,-,136,106,162,162,1442.2,24,3224,-,.---,5060,Chicago Cubs,1989
897,1573,-,-,-,161,103,161,161,1420.2,13,3212,-,.---,4888,Kansas City Royals,1989
898,1564,-,-,-,124,102,162,162,1450.0,18,3159,-,.---,4825,Houston Astros,1989
899,1733,-,-,-,178,107,162,162,1430.1,15,3185,-,.---,5025,Detroit Tigers,1989
