,AO1,BB1,BK,CG,CS1,ER,ERA,G1,GF,GIDP,GO1,GO_AO1,GS,H1,HB,HLD,HR1,IBB1,IP,L,NP,OBP1,OPS,PK,R1,SB1,SHO,SLG1,SO1,SV,SVO,TBF,W,WHIP,WP,WPCT,team,year
303,1633,520,5,3,27,733,4.59,162,159,115,1646,1.01,162,1508,59,71,186,45,1436.1,96,23882,.336,.770,8,785,83,7,.434,1007,35,62,6262,66,1.41,45,.407,Baltimore Orioles,2009
304,1400,572,3,10,58,684,4.30,162,152,158,1894,1.35,162,1477,66,72,147,36,1433.0,93,23907,.342,.758,8,752,125,4,.416,967,34,50,6224,69,1.43,54,.426,Cleveland Indians,2009
305,1491,582,3,3,31,733,4.58,162,159,112,1565,1.05,162,1487,48,86,173,42,1439.0,85,24574,.338,.765,8,804,100,7,.427,1258,35,56,6324,77,1.44,71,.475,Milwaukee Brewers,2009
306,1508,383,4,9,37,638,3.95,162,153,123,1747,1.16,162,1493,47,76,155,19,1452.2,68,22576,.317,.734,11,671,82,13,.417,1048,40,58,6106,94,1.29,41,.580,Minnesota Twins,2009
307,1483,512,7,2,35,658,4.13,162,160,126,1758,1.19,162,1469,46,72,151,57,1435.0,93,23502,.330,.740,7,742,79,5,.410,1068,37,57,6214,69,1.38,33,.426,Washington Nationals,2009
308,1494,490,9,6,39,658,4.09,162,156,140,1678,1.12,162,1471,34,57,136,41,1446.1,74,23476,.325,.720,21,704,105,11,.395,1149,43,57,6180,88,1.36,59,.543,Chicago White Sox,2009
309,1546,537,9,6,50,690,4.30,162,156,147,1690,1.09,162,1445,65,60,142,29,1444.1,81,23748,.332,.732,8,743,101,5,.400,1056,32,45,6198,81,1.37,75,.500,Detroit Tigers,2009
310,1448,548,9,4,44,654,4.09,162,158,113,1639,1.13,162,1446,40,82,140,39,1439.1,86,23886,.330,.732,4,729,89,11,.402,1210,45,60,6221,76,1.39,57,.469,Houston Astros,2009
311,1516,549,4,5,44,652,4.08,162,157,103,1598,1.05,162,1433,51,86,134,42,1438.1,82,23823,.331,.728,5,717,111,17,.398,1168,39,64,6217,80,1.38,49,.494,Florida Marlins,2009
312,1498,545,5,8,26,597,3.70,162,154,136,1736,1.16,162,1438,52,63,135,55,1453.0,83,24176,.330,.723,6,652,51,19,.394,1106,36,52,6245,79,1.36,48,.488,New York Mets,2009
313,1308,525,12,6,43,663,4.14,162,156,155,1767,1.35,162,1405,56,84,139,54,1442.0,79,23476,.326,.724,15,717,81,12,.397,1234,35,56,6143,83,1.34,77,.512,Colorado Rockies,2009
314,1329,477,4,7,38,577,3.57,162,155,151,1926,1.45,162,1412,48,59,133,32,1453.2,76,22974,.319,.706,12,641,53,16,.387,1094,32,42,6137,86,1.30,42,.531,St. Louis Cardinals,2009
315,1555,565,6,10,41,651,4.04,162,152,96,1622,1.04,162,1422,46,63,148,33,1449.1,82,24330,.327,.731,18,702,133,9,.403,1130,39,56,6252,80,1.37,80,.494,Los Angeles Angels,2009
316,1382,539,3,5,35,676,4.22,162,157,148,1736,1.26,162,1407,60,69,150,35,1440.2,77,23688,.326,.731,7,728,69,11,.405,1184,45,61,6165,85,1.35,69,.525,Toronto Blue Jays,2009
317,1451,605,6,1,31,668,4.18,162,161,119,1615,1.11,162,1409,65,69,154,42,1436.2,87,24183,.334,.732,7,767,114,14,.398,1268,40,54,6298,75,1.40,46,.463,Chicago Cubs,2009
318,1627,452,11,11,29,628,3.93,162,151,124,1717,1.06,162,1402,40,36,157,33,1438.0,101,22440,.313,.714,8,698,73,10,.401,973,38,55,6091,61,1.29,73,.377,Seattle Mariners,2009
319,1583,524,6,4,34,648,4.01,162,158,121,1610,1.02,162,1404,50,73,158,32,1453.0,71,24077,.323,.719,8,685,71,9,.396,1130,43,63,6182,91,1.33,48,.562,Cincinnati Reds,2009
320,1391,416,5,14,31,594,3.67,162,148,132,1773,1.27,162,1402,57,61,168,42,1456.1,65,23211,.311,.716,7,640,84,21,.405,1183,40,59,6095,97,1.25,26,.599,Philadelphia Phillies,2009
321,1485,580,3,3,42,679,4.20,162,159,115,1654,1.11,162,1402,53,68,152,30,1456.2,73,24271,.327,.726,11,744,169,9,.399,1207,44,66,6267,89,1.36,58,.549,Boston Red Sox,2009
322,1527,540,6,3,23,651,4.06,162,159,137,1607,1.05,162,1349,62,76,179,37,1442.1,67,23607,.322,.721,8,693,132,8,.399,1154,39,57,6102,95,1.31,69,.586,New York Yankees,2009
323,1230,505,3,2,44,569,3.56,162,160,139,1839,1.50,162,1326,49,77,126,64,1439.1,71,23238,.314,.690,9,629,102,9,.376,1241,41,58,6052,91,1.27,42,.562,Atlanta Braves,2009
324,1621,551,4,7,35,636,3.93,162,155,119,1556,0.96,162,1355,63,82,162,24,1455.1,72,24225,.319,.709,8,687,116,8,.390,1181,46,66,6213,90,1.31,56,.556,Texas Rangers,2009
325,1426,512,8,7,32,566,3.56,162,155,132,1778,1.25,162,1315,38,65,153,29,1431.2,81,23183,.313,.692,20,626,88,17,.379,1070,38,51,6011,81,1.28,42,.500,Oakland Athletics,2009
326,1623,478,9,6,30,611,3.78,162,156,114,1529,0.94,162,1347,46,82,175,34,1453.2,66,23294,.308,.711,8,649,89,12,.404,1189,51,67,6103,96,1.26,60,.593,Tampa Bay Rays,2009
327,1394,539,8,4,39,643,4.01,162,158,101,1654,1.19,162,1323,58,70,134,75,1441.2,82,23717,.316,.694,12,692,97,16,.378,1274,41,59,6141,80,1.29,58,.494,Los Angeles Dodgers,2009
328,1363,517,5,2,39,549,3.39,162,160,116,1666,1.22,162,1305,28,111,139,51,1456.1,72,23698,.308,.676,18,581,79,20,.368,1295,49,64,6058,90,1.25,29,.556,San Diego Padres,2009
329,1524,578,4,6,49,546,3.36,162,156,91,1482,0.97,162,1279,51,65,134,58,1461.0,70,23802,.313,.683,11,583,115,17,.370,1331,57,73,6159,92,1.27,74,.568,San Francisco Giants,2009
330,1615,546,7,2,33,817,5.15,162,160,132,1711,1.06,162,1633,51,61,218,45,1429.0,98,24425,.353,.828,10,876,119,3,.476,933,31,53,6359,64,1.52,31,.395,Baltimore Orioles,2008
331,1575,598,7,5,33,806,5.06,162,157,149,1729,1.10,162,1570,45,49,183,31,1434.0,97,24213,.351,.793,6,865,111,6,.443,986,25,43,6354,65,1.51,49,.401,Cleveland Indians,2008
332,1537,629,5,6,38,791,5.00,162,156,126,1817,1.18,162,1533,48,62,173,59,1424.1,103,23977,.352,.802,15,874,89,3,.450,911,33,58,6349,59,1.52,74,.364,Washington Nationals,2008
333,1533,563,3,5,43,723,4.59,161,156,138,1724,1.12,161,1491,47,63,152,37,1418.1,99,23046,.346,.788,20,768,107,7,.442,919,28,45,6144,62,1.45,52,.385,Pittsburgh Pirates,2008
334,1357,546,4,5,29,722,4.54,162,157,142,1760,1.30,162,1521,50,84,176,56,1430.0,88,23959,.344,.784,8,770,65,10,.440,1144,39,65,6237,74,1.45,43,.457,Houston Astros,2008
335,1676,466,3,4,32,726,4.50,163,159,114,1593,0.95,163,1542,58,82,185,20,1453.0,76,23732,.331,.762,18,765,107,7,.431,1052,48,64,6274,87,1.38,43,.534,Minnesota Twins,2008
336,1565,523,2,9,39,715,4.45,162,153,155,1680,1.07,162,1513,58,79,180,35,1445.0,65,23944,.338,.770,10,761,128,13,.432,1062,51,70,6252,97,1.41,67,.599,Los Angeles Angels,2008
337,1369,551,4,10,46,720,4.47,162,152,143,1755,1.28,162,1509,58,50,181,26,1451.0,87,23939,.339,.772,10,771,89,10,.434,1181,25,41,6281,75,1.42,43,.463,Toronto Blue Jays,2008
338,1482,600,6,10,39,765,4.83,162,152,130,1621,1.09,162,1486,51,50,166,28,1426.0,97,24478,.343,.765,12,842,114,9,.422,1153,34,56,6265,65,1.46,89,.401,Kansas City Royals,2008
339,1520,607,1,1,21,770,4.83,162,161,135,1694,1.11,162,1498,65,91,207,60,1435.0,82,24414,.345,.795,8,818,82,8,.450,1104,44,66,6352,80,1.47,61,.494,Milwaukee Brewers,2008
340,1537,530,5,8,23,695,4.35,162,154,96,1519,0.99,162,1494,68,72,167,24,1436.2,67,24737,.335,.757,7,736,151,11,.422,1230,41,59,6283,95,1.41,42,.586,Boston Red Sox,2008
341,1535,523,2,2,38,685,4.26,162,160,129,1668,1.09,162,1486,36,68,156,30,1447.1,87,24406,.329,.742,12,761,92,10,.413,1124,38,50,6243,75,1.39,43,.463,Oakland Athletics,2008
342,1568,489,2,8,37,673,4.16,162,154,107,1600,1.02,162,1479,75,82,189,31,1455.2,69,24243,.329,.757,15,709,95,9,.427,1153,44,66,6263,93,1.35,28,.574,Philadelphia Phillies,2008
343,1580,616,10,3,34,705,4.45,162,159,116,1663,1.05,162,1452,55,75,158,60,1426.0,92,23979,.342,.759,10,757,66,12,.418,1031,39,60,6284,70,1.45,41,.432,New York Mets,2008
344,1515,525,2,4,33,711,4.42,162,158,115,1660,1.10,162,1470,53,46,168,27,1447.2,92,23980,.330,.749,13,782,105,12,.419,1158,36,55,6267,70,1.38,79,.432,Arizona Diamondbacks,2008
345,1528,594,6,4,50,690,4.29,163,159,140,1659,1.09,163,1449,41,67,182,42,1447.0,77,24411,.336,.759,5,745,88,9,.422,1102,42,66,6240,86,1.41,48,.528,Detroit Tigers,2008
346,1293,528,5,5,27,675,4.22,162,157,119,1842,1.42,162,1427,46,73,141,51,1438.1,70,23258,.328,.733,13,715,115,7,.405,1154,45,61,6171,92,1.36,48,.568,Colorado Rockies,2008
347,1471,507,5,4,42,663,4.14,162,158,131,1708,1.16,162,1438,41,55,169,41,1439.2,83,23477,.325,.739,25,732,132,11,.414,1119,36,54,6155,79,1.35,55,.488,Chicago White Sox,2008
348,1581,531,8,8,43,698,4.38,162,154,136,1675,1.06,162,1432,70,78,171,14,1434.2,75,24111,.331,.747,7,740,99,11,.416,1016,45,58,6172,87,1.37,45,.537,Texas Rangers,2008
349,1601,577,1,6,47,677,4.18,162,156,134,1653,1.03,162,1420,65,81,188,36,1458.1,84,24167,.333,.751,10,723,79,12,.418,1069,41,53,6253,78,1.37,45,.481,Cincinnati Reds,2008
350,1315,460,5,8,28,586,3.66,162,154,147,1949,1.48,162,1407,53,75,123,23,1440.2,71,22519,.319,.706,9,640,44,11,.386,1049,43,58,6087,91,1.30,43,.562,St. Louis Cardinals,2008
351,1498,603,8,2,42,704,4.37,162,160,118,1635,1.09,162,1422,45,92,167,58,1450.2,87,24590,.333,.739,10,769,100,9,.406,1187,45,68,6273,75,1.40,52,.463,San Diego Padres,2008
352,1481,601,5,5,42,690,4.29,162,157,114,1613,1.09,162,1425,45,93,160,60,1446.1,75,24376,.333,.741,4,766,129,5,.408,1248,45,69,6299,87,1.40,59,.537,Florida Marlins,2008
353,1578,515,5,3,28,686,4.33,162,159,114,1574,1.00,162,1421,46,79,183,22,1427.1,78,23818,.324,.741,6,754,90,5,.417,1125,41,63,6146,84,1.36,46,.519,Tampa Bay Rays,2008
354,1342,530,6,3,46,581,3.57,162,159,138,1790,1.33,162,1399,49,71,119,59,1462.2,76,23555,.323,.713,9,641,97,10,.390,1232,38,60,6208,86,1.32,40,.531,Atlanta Braves,2008
355,1494,574,5,3,52,687,4.26,162,159,110,1566,1.05,162,1386,71,74,181,28,1450.0,59,24433,.327,.734,16,753,125,8,.408,1260,51,66,6247,103,1.35,66,.636,New York Yankees,2008
356,1690,534,5,4,44,625,3.87,162,158,128,1612,0.95,162,1359,43,82,172,13,1452.2,77,23843,.316,.710,9,692,67,10,.394,1043,49,77,6159,85,1.30,61,.525,Seattle Mariners,2008
357,1456,586,6,3,43,616,3.84,161,158,118,1593,1.09,161,1329,59,77,160,46,1445.1,78,24219,.324,.715,4,672,89,8,.391,1272,40,58,6177,83,1.32,60,.516,Chicago Cubs,2008
358,1442,584,3,11,42,571,3.55,162,151,112,1575,1.09,162,1268,41,70,140,49,1446.0,74,23865,.314,.686,7,611,107,18,.372,1302,41,58,6103,88,1.28,71,.543,San Francisco Giants,2008
359,1486,584,2,1,39,558,3.41,162,161,110,1627,1.09,162,1265,57,77,127,68,1473.1,67,24416,.312,.673,14,611,89,9,.361,1272,44,70,6182,95,1.25,76,.586,Los Angeles Dodgers,2008
360,1609,625,9,6,37,860,5.37,162,156,160,1743,1.08,162,1647,72,73,176,44,1442.0,83,25058,.362,.817,7,967,114,8,.455,963,36,64,6505,79,1.58,62,.488,Texas Rangers,2007
361,1517,657,9,3,46,822,5.08,162,159,157,1862,1.23,162,1631,49,64,176,31,1455.0,95,24475,.362,.816,13,884,104,7,.454,963,34,56,6528,67,1.57,64,.414,Pittsburgh Pirates,2007
362,1588,687,7,4,33,810,5.13,161,157,141,1736,1.09,161,1538,80,56,184,44,1422.0,93,24408,.361,.796,7,869,130,4,.435,922,35,59,6414,68,1.56,72,.422,Baltimore Orioles,2007
363,1528,626,5,4,37,754,4.73,162,158,139,1737,1.14,162,1544,53,58,161,37,1435.1,101,24476,.351,.784,15,811,92,4,.433,1016,36,67,6368,61,1.51,60,.377,Seattle Mariners,2007
364,1370,562,7,3,30,766,4.77,162,159,142,1905,1.39,162,1547,53,59,148,49,1446.0,88,23775,.344,.775,14,822,86,8,.431,1041,36,59,6338,74,1.46,61,.457,Colorado Rockies,2007
365,1460,557,7,2,40,729,4.55,162,160,130,1629,1.12,162,1542,67,58,201,40,1442.1,88,24885,.345,.796,2,800,95,6,.450,1227,34,55,6352,74,1.46,52,.457,Cincinnati Reds,2007
366,1684,406,4,5,34,675,4.16,163,158,143,1677,1.00,163,1568,31,75,183,38,1459.0,75,22986,.324,.755,14,745,69,10,.431,995,42,65,6221,88,1.35,45,.540,Minnesota Twins,2007
367,1620,644,7,1,36,786,4.90,162,161,151,1695,1.05,162,1541,68,61,172,63,1445.0,88,24351,.353,.791,8,857,69,2,.437,991,34,62,6411,74,1.51,65,.457,Detroit Tigers,2007
368,1530,444,5,10,27,711,4.45,162,152,160,1774,1.16,162,1530,51,51,170,28,1437.0,81,22951,.330,.754,5,761,67,13,.424,986,31,51,6164,81,1.37,44,.500,Cleveland Indians,2007
369,1576,588,8,2,38,742,4.66,161,159,119,1650,1.05,161,1496,51,66,190,44,1434.0,102,24551,.343,.778,10,825,118,8,.436,1063,28,56,6310,59,1.45,59,.366,Washington Nationals,2007
370,1508,496,2,2,26,677,4.19,162,160,134,1868,1.24,162,1517,51,106,163,21,1454.0,76,23792,.332,.764,5,725,49,7,.431,957,42,73,6264,86,1.38,50,.531,St. Louis Cardinals,2007
371,1459,489,5,1,56,685,4.28,162,161,111,1663,1.14,162,1478,51,78,143,37,1441.2,73,23646,.329,.733,10,727,113,11,.405,1141,42,51,6175,89,1.36,55,.549,New York Yankees,2007
372,1614,515,5,2,26,720,4.48,162,160,133,1612,1.00,162,1473,41,59,159,15,1445.2,87,24166,.328,.743,8,781,78,8,.415,1085,44,60,6214,75,1.38,68,.463,Kansas City Royals,2007
373,1496,492,9,4,21,691,4.36,161,157,120,1655,1.11,161,1453,50,79,197,53,1425.1,75,23084,.328,.768,6,743,47,13,.440,1095,48,65,6125,86,1.36,22,.534,Houston Astros,2007
374,1579,561,4,3,38,714,4.41,162,159,123,1666,1.06,162,1466,38,55,165,61,1458.1,99,24024,.332,.741,5,764,168,6,.409,1100,30,56,6286,63,1.39,43,.389,San Diego Padres,2007
375,1326,586,5,2,35,714,4.46,162,160,129,1901,1.43,162,1439,42,76,156,80,1440.2,90,23953,.336,.758,8,778,113,7,.423,1076,26,44,6244,72,1.41,42,.444,Atlanta Braves,2007
376,1503,457,2,7,31,644,3.99,162,155,141,1711,1.14,162,1455,63,74,160,32,1451.1,62,23582,.323,.729,10,697,109,10,.406,1106,66,89,6161,100,1.32,50,.617,Los Angeles Angels,2007
377,1449,460,3,4,30,658,4.06,163,159,136,1776,1.23,163,1471,48,74,156,42,1457.2,74,23429,.320,.731,18,729,139,10,.410,1147,34,52,6218,89,1.32,54,.546,Chicago White Sox,2007
378,1471,533,3,4,34,625,3.88,162,158,127,1763,1.20,162,1444,57,79,160,64,1449.2,70,23581,.329,.739,8,680,109,11,.410,1081,47,62,6229,92,1.36,34,.568,Philadelphia Phillies,2007
379,1602,586,4,2,32,707,4.43,161,159,100,1572,0.98,161,1421,58,86,161,66,1435.1,77,24074,.333,.740,7,767,110,8,.407,1127,36,60,6271,84,1.40,59,.522,Florida Marlins,2007
380,1627,652,7,4,41,701,4.38,162,158,105,1443,0.89,162,1416,70,56,147,59,1442.0,90,24804,.341,.745,5,759,99,12,.404,1240,41,60,6341,72,1.43,77,.444,San Francisco Giants,2007
381,1404,451,3,6,31,635,3.98,162,156,114,1673,1.19,162,1403,68,68,147,41,1434.2,80,23107,.318,.716,5,706,87,9,.398,1229,39,62,6119,82,1.29,59,.506,Arizona Diamondbacks,2007
382,1452,528,5,12,45,623,3.85,162,150,131,1795,1.24,162,1415,42,68,175,32,1455.2,72,23552,.323,.729,8,689,71,10,.406,1110,45,71,6209,90,1.33,53,.556,Milwaukee Brewers,2007
383,1559,590,4,5,28,662,4.07,162,157,112,1634,1.05,162,1415,70,99,163,53,1464.1,73,24714,.331,.729,11,715,66,12,.397,1181,43,72,6338,89,1.37,55,.549,New York Mets,2007
384,1622,576,4,4,41,640,4.01,161,157,142,1568,0.97,161,1364,54,66,135,45,1435.0,86,23557,.328,.720,34,690,70,7,.392,1061,33,52,6112,75,1.35,30,.466,Oakland Athletics,2007
385,1257,480,4,5,26,591,3.68,162,157,124,1872,1.49,162,1381,48,60,123,58,1447.1,78,23383,.315,.691,7,648,82,11,.376,1205,35,55,6127,84,1.29,47,.519,Los Angeles Dodgers,2007
386,1489,548,2,5,32,645,4.01,162,157,119,1638,1.10,162,1369,68,66,147,17,1446.1,67,23760,.323,.713,10,694,96,16,.390,1185,47,69,6180,95,1.33,43,.586,Boston Red Sox,2007
387,1684,526,3,7,31,618,3.82,162,155,132,1526,0.91,162,1349,46,80,166,29,1457.2,65,23885,.314,.715,7,671,76,12,.400,1143,52,68,6145,97,1.29,52,.599,Tampa Bay Rays,2007
388,1374,467,4,15,37,561,3.49,162,147,111,1748,1.27,162,1330,67,72,134,42,1446.2,76,23097,.309,.689,11,610,86,13,.380,1184,44,56,6067,86,1.24,51,.531,Toronto Blue Jays,2007
389,1560,548,7,2,36,624,3.87,161,159,97,1525,0.98,161,1329,65,74,160,45,1450.2,64,24025,.316,.711,11,671,87,8,.395,1264,44,68,6194,97,1.29,48,.602,Chicago Cubs,2007
390,1539,568,2,2,44,879,5.53,162,160,128,1536,1.00,162,1649,63,58,199,31,1429.2,96,24914,.358,.826,8,944,96,2,.467,1194,28,50,6403,66,1.55,55,.407,Tampa Bay Devil Rays,2006
391,1556,518,3,4,35,793,4.93,162,158,163,1781,1.14,162,1627,76,68,174,55,1447.2,94,23375,.352,.799,9,846,110,5,.447,997,32,51,6374,68,1.48,45,.420,Pittsburgh Pirates,2006
392,1590,661,9,0,33,793,4.94,162,162,128,1610,1.01,162,1617,76,107,176,60,1443.2,91,24825,.364,.806,10,891,94,4,.442,1142,40,65,6544,71,1.58,67,.438,Florida Marlins,2006
393,1692,482,5,6,31,796,4.94,162,156,130,1578,0.93,162,1605,73,58,198,47,1449.2,90,23841,.343,.800,9,853,88,7,.456,1068,34,62,6354,72,1.44,54,.444,Cincinnati Reds,2006
394,1553,546,10,6,45,754,4.73,162,156,140,1705,1.10,162,1578,62,74,147,39,1434.1,74,24228,.349,.780,18,813,69,12,.431,1020,43,58,6313,88,1.48,59,.543,Seattle Mariners,2006
395,1660,520,4,2,26,716,4.48,162,160,138,1646,0.99,162,1547,41,74,168,54,1437.1,93,24091,.339,.785,7,778,70,6,.445,993,36,54,6253,69,1.44,56,.426,Kansas City Royals,2006
396,1623,499,0,9,23,763,4.77,162,153,138,1698,1.05,162,1556,59,74,174,50,1440.2,90,23723,.338,.773,10,839,98,9,.435,1015,42,65,6293,72,1.43,45,.444,Chicago White Sox,2006
397,1549,558,3,5,39,767,4.73,162,157,135,1760,1.14,162,1555,72,91,198,62,1458.1,73,23900,.346,.797,8,821,84,5,.451,1050,42,63,6385,89,1.45,46,.549,Philadelphia Phillies,2006
398,1487,668,4,0,47,755,4.75,162,162,143,1822,1.23,162,1525,70,80,155,38,1430.0,87,24713,.356,.780,3,844,98,6,.423,976,42,57,6389,75,1.53,66,.463,Texas Rangers,2006
399,1545,510,3,2,28,761,4.68,162,160,112,1750,1.13,162,1566,63,65,206,62,1464.2,89,24093,.337,.791,9,813,84,6,.454,1109,38,64,6417,73,1.42,40,.451,Houston Astros,2006
400,1580,509,6,2,34,741,4.65,162,160,131,1813,1.15,162,1514,73,68,168,25,1435.2,84,23480,.336,.768,11,829,58,8,.431,945,34,45,6283,78,1.41,39,.481,St. Louis Cardinals,2006
401,1552,420,5,5,41,663,4.15,162,157,128,1655,1.07,162,1505,51,65,185,33,1436.2,83,22830,.324,.755,9,725,65,8,.431,1094,38,52,6133,79,1.34,46,.488,Minnesota Twins,2006
402,1607,507,2,3,24,708,4.41,162,159,125,1572,0.98,162,1513,52,95,161,37,1444.1,79,23941,.333,.754,7,776,99,6,.422,1174,49,69,6285,83,1.40,57,.512,Milwaukee Brewers,2006
403,1797,580,4,0,37,736,4.58,162,162,134,1632,0.91,162,1502,42,97,187,44,1446.2,89,24068,.339,.772,10,783,80,6,.433,931,46,74,6333,73,1.44,52,.451,Washington Nationals,2006
404,1553,410,2,9,46,658,4.05,162,153,136,1778,1.14,162,1519,56,71,146,42,1462.2,66,22965,.322,.729,8,704,93,9,.407,1047,49,64,6206,96,1.32,42,.593,Cleveland Indians,2006
405,1492,696,8,4,32,827,5.17,162,158,133,1729,1.16,162,1491,72,78,161,37,1438.2,93,24845,.354,.766,8,868,109,9,.412,1087,30,55,6418,69,1.52,55,.426,Baltimore Orioles,2006
406,1630,578,6,1,44,724,4.49,162,161,151,1690,1.04,162,1498,60,70,150,33,1450.2,68,23767,.340,.757,6,777,136,5,.417,1009,34,55,6308,94,1.43,59,.580,New York Yankees,2006
407,1495,504,8,4,25,706,4.32,163,159,154,1949,1.30,163,1497,59,81,164,61,1472.0,73,23103,.330,.753,8,758,96,7,.423,967,39,68,6293,90,1.36,35,.552,Colorado Rockies,2006
408,1563,566,8,1,31,735,4.57,162,161,125,1739,1.11,162,1498,68,72,174,41,1447.1,74,24218,.338,.765,11,797,73,9,.427,1047,44,65,6345,88,1.43,75,.543,Detroit Tigers,2006
409,1550,477,5,5,31,674,4.23,162,157,133,1594,1.03,162,1480,51,74,151,22,1435.0,68,23658,.328,.739,5,731,107,9,.412,1156,43,57,6161,94,1.36,69,.580,Los Angeles Angels,2006
410,1537,530,4,4,26,689,4.28,162,158,135,1783,1.16,162,1468,43,66,138,60,1448.0,86,24023,.329,.733,6,758,101,9,.404,1036,36,61,6247,76,1.38,52,.469,Oakland Athletics,2006
411,1522,546,9,7,42,662,4.13,162,155,138,1701,1.12,162,1446,61,86,169,38,1441.0,72,23433,.334,.753,14,732,88,12,.420,1088,51,66,6216,90,1.38,48,.556,Arizona Diamondbacks,2006
412,1423,518,5,4,46,677,4.20,162,158,142,1741,1.22,162,1443,38,74,146,34,1450.0,80,23517,.326,.725,8,727,96,6,.399,1184,43,60,6196,82,1.35,44,.506,Los Angeles Dodgers,2006
413,1577,593,4,5,33,677,4.19,162,157,130,1723,1.09,162,1442,47,87,133,41,1453.2,91,24138,.334,.740,5,720,77,10,.405,1057,37,60,6299,71,1.40,49,.438,San Francisco Giants,2006
414,1497,537,5,1,30,665,4.11,162,161,119,1771,1.18,162,1442,42,64,172,89,1456.1,78,23268,.327,.742,8,733,98,6,.415,1106,36,52,6263,84,1.36,48,.519,Atlanta Braves,2006
415,1626,570,3,2,29,687,4.26,162,160,110,1605,0.99,162,1415,61,78,165,40,1452.1,74,24576,.329,.737,9,750,105,10,.409,1134,39,57,6293,88,1.37,36,.543,New York Mets,2006
416,1355,479,3,11,24,644,4.00,162,151,146,1927,1.42,162,1383,55,64,157,34,1448.2,79,23136,.315,.706,6,699,134,9,.391,1067,44,69,6108,83,1.29,42,.512,Toronto Blue Jays,2006
417,1496,474,6,1,20,611,3.70,163,162,126,1836,1.23,163,1406,48,76,119,48,1484.2,74,23418,.311,.686,7,666,189,20,.374,1136,45,67,6254,89,1.27,42,.546,San Diego Padres,2006
418,1550,482,0,5,32,618,3.87,162,157,115,1611,1.04,162,1350,62,78,151,20,1438.2,66,23171,.314,.705,5,657,107,13,.392,1149,45,57,6071,96,1.27,33,.593,Boston Red Sox,2006
419,1569,573,3,2,24,650,4.04,162,160,117,1562,1.00,162,1340,59,67,165,46,1446.2,77,23609,.322,.721,11,690,116,10,.399,1211,39,53,6186,85,1.32,42,.525,Chicago Cubs,2006
420,1633,637,9,3,30,896,5.65,162,159,161,1735,1.06,162,1648,60,66,213,45,1426.1,100,24589,.367,.843,9,971,58,5,.476,904,35,66,6434,62,1.60,85,.383,Kansas City Royals,2005
421,1635,606,8,3,46,782,4.96,162,159,128,1635,1.00,162,1600,63,47,180,39,1420.1,101,24004,.358,.810,14,856,108,7,.452,979,33,54,6374,61,1.55,70,.377,Tampa Bay Devil Rays,2005
422,1581,613,4,5,50,843,5.35,162,157,129,1635,1.03,162,1579,48,58,216,26,1419.0,92,24358,.357,.819,9,899,80,9,.462,1016,35,56,6327,70,1.54,59,.432,Baltimore Orioles,2005
423,1592,429,2,13,34,698,4.41,162,149,143,1735,1.09,162,1583,51,40,166,35,1423.1,84,22891,.335,.766,8,782,128,13,.431,948,24,47,6190,78,1.41,46,.481,Cleveland Indians,2005
424,1413,620,6,2,52,720,4.52,162,160,144,1809,1.28,162,1545,70,72,156,62,1435.0,95,23751,.357,.789,24,797,102,10,.431,1060,39,60,6354,67,1.51,61,.414,Pittsburgh Pirates,2005
425,1515,509,3,3,23,773,4.83,162,159,148,1724,1.14,162,1570,68,80,181,25,1441.1,76,24002,.343,.789,12,825,108,6,.447,1070,46,69,6292,86,1.44,52,.531,Boston Red Sox,2005
426,1476,496,4,3,40,731,4.60,162,159,145,1836,1.24,162,1558,66,79,162,18,1431.1,82,23542,.341,.766,7,784,67,8,.424,972,42,65,6237,80,1.44,34,.494,Texas Rangers,2005
427,1619,464,9,9,35,725,4.51,162,153,111,1674,1.03,162,1576,60,49,213,55,1445.2,82,23415,.337,.794,3,801,50,10,.457,1053,36,60,6319,80,1.41,40,.494,Cincinnati Reds,2005
428,1461,553,2,5,42,749,4.66,162,157,165,1916,1.31,162,1549,66,76,155,81,1447.1,86,23076,.346,.785,9,812,99,8,.438,952,34,58,6318,76,1.45,43,.469,Colorado Rockies,2005
429,1498,512,4,4,35,747,4.60,162,158,135,1738,1.16,162,1561,62,85,211,63,1460.1,77,23982,.339,.798,6,812,94,6,.460,1138,42,64,6366,85,1.42,58,.525,Philadelphia Phillies,2005
430,1788,584,10,1,30,803,5.03,162,161,90,1581,0.88,162,1535,92,62,193,93,1436.1,91,24290,.349,.796,6,872,110,3,.447,960,32,55,6424,71,1.48,47,.438,Washington Nationals,2005
431,1524,572,2,6,30,736,4.60,162,156,131,1763,1.16,162,1529,55,56,183,69,1441.1,83,23680,.343,.781,6,805,101,6,.438,1049,38,67,6350,79,1.46,39,.488,Atlanta Braves,2005
432,1632,529,4,5,41,679,4.21,162,157,149,1702,1.04,162,1525,55,83,162,47,1451.2,69,23744,.338,.759,12,727,88,11,.422,1003,54,74,6279,93,1.41,43,.574,Oakland Athletics,2005
433,1643,433,1,5,34,743,4.61,162,157,128,1696,1.03,162,1534,58,64,200,59,1449.0,72,23271,.326,.766,12,794,116,11,.440,1012,46,63,6232,90,1.36,51,.556,Chicago White Sox,2005
